audited_agent_id,field,audited_fields,factual_fields,supported_factual_fields,factual_support_rate,contradicted_n,not_found_n,high_severity_n,medium_severity_n
agent_b,makes_explicit_causal_claim,175,175,46,0.26285714285714284,121,8,0,129
agent_a,makes_explicit_causal_claim,175,175,95,0.5428571428571428,79,1,0,80
agent_a,uses_original_dataset,175,175,123,0.7028571428571428,10,42,0,52
agent_b,uses_original_dataset,175,175,137,0.7828571428571428,15,23,0,38
agent_c,uses_original_dataset,175,175,148,0.8457142857142858,11,16,0,27
agent_b,paper_uses_survey_data,175,175,153,0.8742857142857143,2,20,22,0
agent_c,sample_size,175,175,154,0.88,0,21,21,0
agent_c,sample_size_quote,175,175,154,0.88,0,21,21,0
agent_a,paper_uses_survey_data,175,175,155,0.8857142857142857,0,20,18,2
agent_c,paper_uses_survey_data,175,175,156,0.8914285714285715,2,17,18,1
agent_a,effort_to_explore_mechanisms,175,175,157,0.8971428571428571,15,3,0,3
agent_c,main_variable_relationship,175,175,158,0.9028571428571428,0,17,16,1
agent_b,effort_to_explore_mechanisms,175,175,158,0.9028571428571428,12,5,0,5
agent_c,makes_explicit_causal_claim,175,175,162,0.9257142857142857,12,1,0,13
agent_a,makes_implicit_causal_claim,175,175,162,0.9257142857142857,0,13,0,0
agent_a,sample_size_quote,175,175,163,0.9314285714285714,0,12,12,0
agent_b,sample_size_quote,175,175,164,0.9371428571428572,0,11,11,0
agent_b,sample_size,175,175,165,0.9428571428571428,0,10,10,0
agent_b,main_variable_relationship,175,175,166,0.9485714285714286,0,9,9,0
agent_c,makes_implicit_causal_claim,175,175,166,0.9485714285714286,0,9,0,0
agent_a,sample_size,175,175,167,0.9542857142857143,0,8,8,0
agent_c,independent_variables,175,175,167,0.9542857142857143,0,8,0,8
agent_c,dependent_variables,175,175,168,0.96,0,7,0,7
agent_a,main_causal_research_design,175,175,169,0.9657142857142857,0,6,0,6
agent_c,main_causal_research_design,175,175,169,0.9657142857142857,0,6,0,6
agent_a,specifies_estimate_equations,175,175,169,0.9657142857142857,0,6,0,6
agent_b,claims_any_statistically_significant_results,175,175,170,0.9714285714285714,0,5,0,5
agent_c,claims_any_statistically_significant_results,175,175,170,0.9714285714285714,0,5,0,5
agent_a,dependent_variables,175,175,170,0.9714285714285714,0,5,0,5
agent_b,dependent_variables,175,175,170,0.9714285714285714,0,5,0,5
agent_b,main_causal_research_design,175,175,170,0.9714285714285714,0,5,0,5
agent_b,specifies_estimate_equations,175,175,170,0.9714285714285714,0,5,0,5
agent_a,claims_any_statistically_significant_results,175,175,171,0.9771428571428571,0,4,0,4
agent_a,independent_variables,175,175,171,0.9771428571428571,0,4,0,4
agent_b,independent_variables,175,175,172,0.9828571428571429,0,3,0,3
agent_b,makes_implicit_causal_claim,175,175,173,0.9885714285714285,0,2,0,0
agent_a,references_power_analysis,175,175,174,0.9942857142857143,1,0,1,0
agent_c,references_power_analysis,175,175,174,0.9942857142857143,1,0,1,0
agent_c,effort_to_explore_mechanisms,175,175,174,0.9942857142857143,0,1,0,1
agent_c,specifies_estimate_equations,175,175,174,0.9942857142857143,0,1,0,1
agent_a,main_variable_relationship,175,175,175,1,0,0,0,0
agent_a,mentions_pre_registered_design_and_analysis_plan,175,175,175,1,0,0,0,0
agent_b,mentions_pre_registered_design_and_analysis_plan,175,175,175,1,0,0,0,0
agent_c,mentions_pre_registered_design_and_analysis_plan,175,175,175,1,0,0,0,0
agent_b,references_power_analysis,175,175,175,1,0,0,0,0
agent_a,statement_of_identification_assumptions,175,175,175,1,0,0,0,0
agent_b,statement_of_identification_assumptions,175,175,175,1,0,0,0,0
agent_c,statement_of_identification_assumptions,175,175,175,1,0,0,0,0
agent_a,statement_of_identification_assumptions_quote,175,175,175,1,0,0,0,0
agent_b,statement_of_identification_assumptions_quote,175,175,175,1,0,0,0,0
agent_c,statement_of_identification_assumptions_quote,175,175,175,1,0,0,0,0
