journal_title,period_3,n_articles,n_empirical,n_quantitative,n_inference,n_inference_observed,n_inference_missing,n_claim,n_empirical_claim,n_screen,n_strict,pct_empirical,pct_quantitative,pct_inference,pct_claim,pct_claim_all,pct_screen,pct_strict
Brazilian Political Science Review,2005-2011,46,34,27,13,27,0,39,34,17,0,73.9,79.4,48.1,100,84.8,37,0
Brazilian Political Science Review,2012-2018,108,92,68,31,68,0,93,91,38,6,85.2,73.9,45.6,98.9,86.1,35.2,15.8
Brazilian Political Science Review,2019-2025,114,105,76,41,76,0,105,103,53,7,92.1,72.4,53.9,98.1,92.1,46.5,13.2
Contexto Internacional,2005-2011,102,67,20,0,20,0,78,65,5,0,65.7,29.9,0,97,76.5,4.9,0
Contexto Internacional,2012-2018,170,136,47,3,47,0,150,132,8,1,80,34.6,6.4,97.1,88.2,4.7,12.5
Contexto Internacional,2019-2025,184,142,44,5,44,0,155,139,6,0,77.2,31,11.4,97.9,84.2,3.3,0
Dados,2005-2011,181,151,91,39,91,0,157,147,52,0,83.4,60.3,42.9,97.4,86.7,28.7,0
Dados,2012-2018,212,185,109,48,109,0,188,181,61,4,87.3,58.9,44,97.8,88.7,28.8,6.6
Dados,2019-2025,229,206,140,55,140,0,207,195,85,6,90,68,39.3,94.7,90.4,37.1,7.1
Opinião Pública,2005-2011,117,109,103,60,103,0,109,103,92,2,93.2,94.5,58.3,94.5,93.2,78.6,2.2
Opinião Pública,2012-2018,163,150,138,87,136,2,156,144,124,6,92,92,64,96,95.7,76.1,4.8
Opinião Pública,2019-2025,184,180,162,95,162,0,177,173,143,11,97.8,90,58.6,96.1,96.2,77.7,7.7
Revista Brasileira de Ciência Política,2005-2011,29,12,2,0,2,0,26,12,2,0,41.4,16.7,0,100,89.7,6.9,0
Revista Brasileira de Ciência Política,2012-2018,194,136,81,26,81,0,178,131,64,0,70.1,59.6,32.1,96.3,91.8,33,0
Revista Brasileira de Ciência Política,2019-2025,168,142,101,34,100,1,156,136,72,4,84.5,71.1,34,95.8,92.9,42.9,5.6
