year,classified_n,indicator,percent
2005,12,Quantitativos Torreblanca,8.3
2005,12,Screen de credibilidade,8.3
2005,12,Credibilidade conservadora,0
2005,12,Credibilidade inclusiva,0
2007,8,Quantitativos Torreblanca,50
2007,8,Screen de credibilidade,37.5
2007,8,Credibilidade conservadora,0
2007,8,Credibilidade inclusiva,0
2008,10,Quantitativos Torreblanca,60
2008,10,Screen de credibilidade,50
2008,10,Credibilidade conservadora,0
2008,10,Credibilidade inclusiva,0
2009,9,Quantitativos Torreblanca,33.3
2009,9,Screen de credibilidade,11.1
2009,9,Credibilidade conservadora,0
2009,9,Credibilidade inclusiva,0
2010,9,Quantitativos Torreblanca,77.8
2010,9,Screen de credibilidade,33.3
2010,9,Credibilidade conservadora,0
2010,9,Credibilidade inclusiva,0
2011,10,Quantitativos Torreblanca,70
2011,10,Screen de credibilidade,50
2011,10,Credibilidade conservadora,0
2011,10,Credibilidade inclusiva,0
2012,10,Quantitativos Torreblanca,90
2012,10,Screen de credibilidade,50
2012,10,Credibilidade conservadora,10
2012,10,Credibilidade inclusiva,10
2013,16,Quantitativos Torreblanca,43.8
2013,16,Screen de credibilidade,12.5
2013,16,Credibilidade conservadora,6.2
2013,16,Credibilidade inclusiva,6.2
2014,14,Quantitativos Torreblanca,57.1
2014,14,Screen de credibilidade,28.6
2014,14,Credibilidade conservadora,0
2014,14,Credibilidade inclusiva,0
2015,13,Quantitativos Torreblanca,69.2
2015,13,Screen de credibilidade,61.5
2015,13,Credibilidade conservadora,15.4
2015,13,Credibilidade inclusiva,15.4
2016,21,Quantitativos Torreblanca,61.9
2016,21,Screen de credibilidade,38.1
2016,21,Credibilidade conservadora,0
2016,21,Credibilidade inclusiva,0
2017,16,Quantitativos Torreblanca,75
2017,16,Screen de credibilidade,37.5
2017,16,Credibilidade conservadora,6.2
2017,16,Credibilidade inclusiva,6.2
2018,18,Quantitativos Torreblanca,55.6
2018,18,Screen de credibilidade,27.8
2018,18,Credibilidade conservadora,5.6
2018,18,Credibilidade inclusiva,5.6
2019,17,Quantitativos Torreblanca,76.5
2019,17,Screen de credibilidade,64.7
2019,17,Credibilidade conservadora,5.9
2019,17,Credibilidade inclusiva,5.9
2020,13,Quantitativos Torreblanca,61.5
2020,13,Screen de credibilidade,38.5
2020,13,Credibilidade conservadora,15.4
2020,13,Credibilidade inclusiva,15.4
2021,15,Quantitativos Torreblanca,60
2021,15,Screen de credibilidade,40
2021,15,Credibilidade conservadora,0
2021,15,Credibilidade inclusiva,0
2022,17,Quantitativos Torreblanca,76.5
2022,17,Screen de credibilidade,52.9
2022,17,Credibilidade conservadora,5.9
2022,17,Credibilidade inclusiva,5.9
2023,52,Quantitativos Torreblanca,65.4
2023,52,Screen de credibilidade,30.8
2023,52,Credibilidade conservadora,5.8
2023,52,Credibilidade inclusiva,5.8
2024,43,Quantitativos Torreblanca,60.5
2024,43,Screen de credibilidade,32.6
2024,43,Credibilidade conservadora,2.3
2024,43,Credibilidade inclusiva,2.3
2025,77,Quantitativos Torreblanca,62.3
2025,77,Screen de credibilidade,20.8
2025,77,Credibilidade conservadora,1.3
2025,77,Credibilidade inclusiva,1.3
